admcd	admnm	lon	lat
1150060300	서울특별시 강서구 가양제1동	126.836	37.573
1150060400	서울특별시 강서구 가양제2동	126.855	37.568
1150060500	서울특별시 강서구 가양제3동	126.862	37.563
1150061100	서울특별시 강서구 발산제1동	126.826	37.55
1150061200	서울특별시 강서구 발산제2동	126.841	37.55
1150061500	서울특별시 강서구 우장산동	126.841	37.55
1150062000	서울특별시 강서구 공항동	126.795	37.557
1150063000	서울특별시 강서구 방화제1동	126.818	37.569
1150064000	서울특별시 강서구 방화제2동	126.802	37.583
1150064100	서울특별시 강서구 방화제3동	126.818	37.583
1153000000	서울특별시 구로구	126.854	37.496
1153051000	서울특별시 구로구 신도림동	126.883	37.51
1153052000	서울특별시 구로구 구로제1동	126.875	37.493
1153053000	서울특별시 구로구 구로제2동	126.884	37.497
1153054000	서울특별시 구로구 구로제3동	126.894	37.485
1153054500	서울특별시 구로구 구로제3동분소	126.894	37.485
1153055000	서울특별시 구로구 구로제4동	126.891	37.491
1153056000	서울특별시 구로구 구로제5동	126.887	37.502
1153056500	서울특별시 구로구 구로본동	126.884	37.497
1153057000	서울특별시 구로구 구로제6동	126.891	37.491
1153058000	서울특별시 구로구 가리봉제1동	126.889	37.482
1153059000	서울특별시 구로구 가리봉제2동	126.885	37.485
1153059500	서울특별시 구로구 가리봉동	126.888	37.483
1153072000	서울특별시 구로구 고척제1동	126.862	37.5
1153073000	서울특별시 구로구 고척제2동	126.854	37.505
1153074000	서울특별시 구로구 개봉제1동	126.845	37.501
1153075000	서울특별시 구로구 개봉제2동	126.857	37.492
1153076000	서울특별시 구로구 개봉제3동	126.852	37.486
1153076500	서울특별시 구로구 개봉본동	126.845	37.501
1153077000	서울특별시 구로구 오류제1동	126.843	37.497
1153078000	서울특별시 구로구 오류제2동	126.834	37.485
1153079000	서울특별시 구로구 수궁동	126.827	37.499
1153080000	서울특별시 구로구 항동	126.826	37.481
1154500000	서울특별시 금천구	126.9	37.459
1154551000	서울특별시 금천구 가산동	126.887	37.476
1154551500	서울특별시 금천구 가산동민원분소	126.887	37.476
1154561000	서울특별시 금천구 독산제1동	126.894	37.465
1154561500	서울특별시 금천구 독산제1동분소	126.894	37.465
1154562000	서울특별시 금천구 독산제2동	126.901	37.463
1154563000	서울특별시 금천구 독산제3동	126.905	37.476
1154564000	서울특별시 금천구 독산제4동	126.904	37.469
1154565000	서울특별시 금천구 독산본동	126.905	37.476
1154566000	서울특별시 금천구 시흥본동	126.901	37.453
1154567000	서울특별시 금천구 시흥제1동	126.901	37.453
1154568000	서울특별시 금천구 시흥제2동	126.921	37.451
1154569000	서울특별시 금천구 시흥제3동	126.907	37.441
1154570000	서울특별시 금천구 시흥제4동	126.91	37.459
